Player_match_SK,PlayerMatch_key,Match_Id,Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Role_Desc,Player_team,Opposit_Team,Season_year,is_manofThematch,Age_As_on_match,IsPlayers_Team_won,Batting_Status,Bowling_Status,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
-1,-1,-1,-1,N/A,,,,,,,,,,,,,,,,,
12694,33598700006,335987,6,R Dravid,1/11/1973,Right-hand bat,Right-arm offbreak,India,Captain,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,35,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12695,33598700007,335987,7,W Jaffer,2/16/1978,Right-hand bat,Right-arm offbreak,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12696,33598700008,335987,8,V Kohli,11/5/1988,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,20,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12697,33598700009,335987,9,JH Kallis,10/16/1975,Right-hand bat,Right-arm fast-medium,South Africa,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,33,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12698,33598700010,335987,10,CL White,8/18/1983,Right-hand bat,Legbreak googly,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,25,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12699,33598700011,335987,11,MV Boucher,12/3/1976,Right-hand bat,Right-arm medium,South Africa,Keeper,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,32,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12700,33598700012,335987,12,B Akhil,10/7/1977,Right-hand bat,Right-arm medium-fast,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12701,33598700013,335987,13,AA Noffke,4/30/1977,Right-hand bat,Right-arm fast-medium,Australia,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,31,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12702,33598700014,335987,14,P Kumar,10/2/1986,Right-hand bat,Right-arm medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,22,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
12703,33598700015,335987,15,Z Khan,10/7/1978,Right-hand bat,Left-arm fast-medium,India,Player,Royal Challengers Bangalore,Kolkata Knight Riders,2008,0,30,0,,,R Dravid,SC Ganguly,MV Boucher,WP Saha
